TSNE1,TSNE2
25.355799,-6.2735105
-4.6036234,-61.505302
-11.223839,14.325739
26.404123,-10.380957
16.805693,29.104563
-32.01666,22.481342
18.947954,24.754078
19.404333,-15.688115
-7.3476954,-2.7331786
17.10905,17.778835
3.693557,24.351095
13.925531,57.682724
37.48913,3.7662807
19.612991,19.146706
3.4929197,-32.46082
12.282623,20.54413
-19.01263,-13.865397
-10.935374,-56.576706
-28.174768,10.898011
-1.8607346,-13.172452
8.462912,34.520416
22.22086,-41.408497
0.29357144,43.431038
-10.106305,-3.4930565
25.711235,55.37298
-21.095821,-2.780272
-15.43731,7.493194
24.32354,-42.34329
32.42516,-12.9289465
-13.530846,-7.0025563
-20.488108,-0.9340577
-12.796443,13.393118
-30.274195,-34.63617
7.6329613,31.009792
19.587605,31.260696
-10.730245,-57.635143
-28.151896,8.880797
20.54962,-10.4468775
-24.335077,10.180549
23.89834,-41.250443
18.95061,-26.708181
5.126635,32.614586
9.240762,-20.400183
-1.6929044,-62.517467
8.752351,10.280789
13.587598,60.297916
2.8318324,-32.482628
-23.209198,7.266025
-10.339211,19.607964
-2.9499702,28.686003
1.7215642,34.042225
4.758483,3.2909107
-18.220684,-4.05834
-11.579395,5.1700625
0.61390334,33.71629
9.102075,34.80843
20.799652,-22.946167
-25.743309,-40.35142
-21.131105,28.764765
15.467599,52.803185
1.1007457,30.967014
-1.0106949,-14.349238
-12.875138,-12.34176
-27.953382,-37.396538
28.339241,58.47925
-25.648678,28.23484
6.3395343,-3.486056
-24.455553,8.409869
21.60803,-25.464842
22.935047,-25.45695
-4.4652553,-65.358116
23.849745,18.11837
23.881569,57.6941
10.5886135,30.107288
-0.31669155,-35.480953
37.444397,-6.6378307
-14.4669895,-5.4206076
-0.66232,25.379425
6.75803,21.66826
19.927235,57.577267
3.7116675,-35.29731
31.843624,-3.7926488
17.752941,-40.497818
-25.792187,5.830028
27.137125,-2.540521
-27.980906,-2.266416
8.926291,14.089983
-3.291332,33.11055
23.053707,19.588392
-19.359386,-28.959925
-20.44478,-0.34480935
16.527334,60.567173
22.786453,12.253909
2.9958534,-12.361683
16.845633,59.710144
14.837838,9.350835
2.443663,10.414895
-17.434223,26.661058
16.237001,64.16282
24.03444,1.8650571
7.1231494,-45.034195
3.0176299,40.060524
25.30864,-38.33965
-29.27965,-27.011868
-0.1368418,-10.48701
30.7596,3.1748927
29.647888,-15.46839
4.2252293,39.597622
-0.62396055,-23.10115
-3.2947516,-66.07342
-21.399736,18.87915
-5.446865,-55.531693
-11.559374,1.307838
28.403343,-7.806941
19.118113,23.494436
17.909872,10.620634
-24.867424,18.60662
-2.2396762,24.352207
25.357443,-5.2123284
-10.906926,-16.186813
-30.828842,7.820536
2.7315302,17.16312
-0.89528155,36.7123
32.528145,-15.698333
22.798532,-16.931717
-27.1809,12.259073
-1.1820524,-13.876016
9.013815,5.682318
4.186027,-3.5319242
19.522888,2.8885217
1.9805981,-25.243902
-26.813433,-10.943186
-1.829534,-66.11882
-19.961561,29.795769
16.80355,56.383595
-13.705921,-3.7944613
-25.623549,25.282553
3.3657992,-19.464983
35.732155,2.5953915
28.207266,-10.647401
23.37232,-28.72759
2.6095374,16.159975
11.291162,20.26245
4.803066,-36.802113
22.360899,-28.037436
-23.473326,-23.300268
32.9278,0.4879691
-4.1402984,-37.01903
9.362498,-27.087454
